parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed,topical_score
Glabridin,COc1ccc(O)c(-c2ccc(OC)c(O)c2O)c1,262.261,2.4876000000000014,3,5,79.15,0.7404854724188736,0.7322188057522079
EGCG,COc1ccc(O)c(-c2ccc(OC)c(O)c2O)c1,262.261,2.4876000000000014,3,5,79.15,0.7404854724188736,0.7322188057522079
Asiaticoside,COc1ccc(O)c(-c2ccc(OC)c(O)c2O)c1,262.261,2.4876000000000014,3,5,79.15,0.7404854724188736,0.7322188057522079
Embelin,COc1ccc(O)c(-c2ccc(OC)c(O)c2O)c1,262.261,2.4876000000000014,3,5,79.15,0.7404854724188736,0.7322188057522079
EGCG,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1O,288.299,2.5307000000000013,3,5,79.15,0.7400285847023776,0.7195619180357101
Embelin,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1O,288.299,2.5307000000000013,3,5,79.15,0.7400285847023776,0.7195619180357101
Asiaticoside,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1O,288.299,2.5307000000000013,3,5,79.15,0.7400285847023776,0.7195619180357101
EMB-3,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1O,288.299,2.5307000000000013,3,5,79.15,0.7400285847023776,0.7195619180357101
Glabridin,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1O,288.299,2.5307000000000013,3,5,79.15,0.7400285847023776,0.7195619180357101
Curcumin,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1O,288.299,2.5307000000000013,3,5,79.15,0.7400285847023776,0.7195619180357101
EGCG,COc1cc(Oc2ccc(O)c(CO)c2)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
Curcumin,COc1cc(Oc2ccc(O)c(CO)c2)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
Asiaticoside,COc1cc(Oc2ccc(O)c(CO)c2)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
Embelin,COc1cc(Oc2cc(CO)ccc2O)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
Asiaticoside,COc1cc(Oc2cc(CO)ccc2O)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
Embelin,COc1cc(Oc2ccc(O)c(CO)c2)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
EMB-3,COc1cc(Oc2ccc(O)c(CO)c2)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
EMB-3,COc1cc(Oc2cc(CO)ccc2O)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
Glabridin,COc1cc(Oc2ccc(O)c(CO)c2)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
Glabridin,COc1cc(Oc2cc(CO)ccc2O)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
EGCG,COc1cc(Oc2cc(CO)ccc2O)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
Curcumin,COc1cc(Oc2cc(CO)ccc2O)ccc1O,262.261,2.3910000000000005,3,5,79.15,0.7880523622495819,0.7153856955829155
